id,depth,square,fold
d0244d6c38,51,0.0,0
a31e485287,53,0.0,1
ad2113ea1c,54,0.0,2
5aa0015d15,54,0.0,3
b11110b854,55,0.0,4
a3e0a0c779,55,0.0,0
6f79e6d54b,58,0.0,1
0b9981aba1,59,147.76051367512989,2
dc534f1e28,63,0.0,3
eab589e1f2,63,0.0,4
022b1b01be,64,0.0,0
99909324ed,67,0.0,1
bc3156b1e4,67,9424.551024409371,2
e82421363e,68,0.0,3
fcf61d1883,71,0.0,4
1c0b2ceb2f,71,0.0,0
4c36178b41,72,0.0,1
d2e14828d5,72,0.0,2
44381a3f55,73,0.0,3
df5df272fb,73,0.0,4
d0e720b57b,73,0.0,0
9a48617407,74,0.0,1
d18a64f984,76,0.0,2
8ee20f502e,76,0.0,3
cc15d94784,76,0.0,4
8c1d0929a2,77,0.0,0
b8c3ca0fab,81,0.0,1
51be9fc3d5,81,0.0,2
7ec839af45,81,0.0,3
97515a958d,82,0.0,4
3a7bbd73af,82,0.0,0
4ad8a63538,82,1997.9791196941476,1
06d21d76c4,82,5839.752475247525,2
ec542d0719,83,0.0,3
fff2abcaf9,83,0.0,4
e1921d9a0d,83,0.0,0
367c6fb412,83,0.0,1
da5ab3d506,83,655.2857562984021,2
6738d474a3,84,0.0,3
f2c869e655,84,0.0,4
b749a000ea,84,65290.873933928044,0
b7b83447c4,87,5839.752475247525,1
ddd0be8fd5,88,0.0,2
f8ba90c991,88,0.0,3
46c1a0e9a3,88,0.0,4
7c2609c66c,88,0.0,0
05b69f83bf,88,0.0,1
b85046c5c1,89,0.0,2
c1c6a1ebad,89,0.0,3
c5745e04ff,89,30419.39270659739,4
a37249665e,89,32455.91804725027,0
16017c8e02,90,0.0,1
ff8bf1417c,90,0.0,2
fcb49356a5,91,0.0,3
2b39f9a88f,91,0.0,4
135ae076e9,91,0.0,0
7053b28de2,92,0.0,1
0b45bde756,92,62939.55445544554,2
f121c06f1f,93,0.0,3
0d8ed16206,93,0.0,4
fa9da6a455,94,0.0,0
4bb8260218,94,14467.681599843152,1
80a458a2b6,94,32443.069306930694,2
6545c6235b,95,0.0,3
5fe599e1a5,95,0.0,4
b1be1fa682,95,29847.62376237624,0
769d51b80b,96,0.0,1
ac6289352d,96,0.0,2
c4911615e1,98,0.0,3
a56e87840f,98,0.0,4
5cb2496125,99,0.0,0
b1ac5ed0b3,99,0.0,1
77ecd76754,99,0.0,2
3ff3881428,100,0.0,3
2d7a83381c,100,0.0,4
fbd61072f4,100,0.0,0
cbd42ee63f,101,0.0,1
7ebd3f0cdd,101,0.0,2
ebd623bfc6,102,0.0,3
dd9a94a797,102,0.0,4
9737133eff,104,0.0,0
8ad8b9b163,104,0.0,1
2eea9d51a4,105,0.0,2
4985566e7d,105,0.0,3
0f9977b1dd,106,0.0,4
24a38972a3,106,0.0,0
7b2032d7d1,106,0.0,1
b2d7897c35,107,0.0,2
393048bc6c,107,0.0,3
d84e52cb6e,107,0.0,4
8c9b19f267,107,0.0,0
d538594e14,107,0.0,1
83c0564224,108,0.0,2
95a87f8ad9,108,0.0,3
a5d2da8488,108,0.0,4
4d03329aa4,108,0.0,0
b6f907680a,108,7304.508871679247,1
58789490d6,109,0.0,2
62e608259a,109,1670.3362415449465,3
4eccb0cb9d,110,0.0,4
9ccf50ab0e,110,0.0,0
aff8ae9d4d,110,0.0,1
4864559ba5,110,0.0,2
eed6c66da4,111,0.0,3
6c25735f24,111,0.0,4
f7d4d6fb0d,112,0.0,0
cb0d3e8399,112,0.0,1
808cbefd71,112,0.0,2
b9bf0422a6,112,0.0,3
6c61beb5dd,112,0.0,4
0ddcd3fd1a,112,167.03362415449465,0
a2530b4c45,113,0.0,1
762f01c185,113,0.0,2
9b5bed5c6f,113,0.0,3
1f73caa937,114,0.0,4
d4d34af4f7,114,9084.059405940594,0
66fed16154,114,41546.40182335065,1
bedb558d15,115,0.0,2
e82b7a2abb,115,0.0,3
b2fbaf80d5,115,0.0,4
62d6a9b673,115,0.0,0
74d1d03fc3,115,0.0,1
f2f67e14a6,116,0.0,2
50b3aef4c4,116,5839.752475247525,3
902d01b7dd,117,0.0,4
7c0b76979f,117,12977.227722772277,0
b6aa5c7ab4,117,42336.59935300461,1
e7da2d7800,118,0.0,2
70a32506ab,118,30265.207822762473,3
299ef808f6,119,16947.48848152142,4
1a8a17f220,120,0.0,0
